review_id,theme,ticker,relevance_score,reviewer_notes
R0177,Timber & Forestry,AVBH,,
R0164,Timber & Forestry,NRIM,,
R0066,Critical Minerals,JKS,,
R0113,Defense,NKSH,,
R0187,US Infrastructure,CNNE,,
R0156,Robotics & AI,HTB,,
R0032,Agribusiness,SLNG,,
R0013,AI Infrastructure,OXM,,
R0036,Agribusiness,CLFD,,
R0029,Agribusiness,JOUT,,
R0043,Clean Energy,ELME,,
R0085,Cybersecurity,EBF,,
R0105,Defense,NECB,,
R0151,Robotics & AI,LSBK,,
R0052,Clean Energy,CLB,,
R0125,Fintech,LOAN,,
R0178,Timber & Forestry,KINS,,
R0077,Critical Minerals,MTUS,,
R0042,Clean Energy,TITN,,
R0136,Fintech,ELTK,,
R0079,Critical Minerals,KE,,
R0179,Timber & Forestry,ACCO,,
R0027,Agribusiness,AVBH,,
R0147,Robotics & AI,CHSCL,,
R0174,Timber & Forestry,NX,,
R0207,Water,PCYO,,
R0001,AI Infrastructure,MOV,,
R0003,AI Infrastructure,FNRN,,
R0078,Critical Minerals,WGO,,
R0047,Clean Energy,TRC,,
R0154,Robotics & AI,FBIZ,,
R0119,Defense,RGCO,,
R0091,Cybersecurity,CAPL,,
R0086,Cybersecurity,CLNE,,
R0148,Robotics & AI,ZUMZ,,
R0099,Cybersecurity,BOC,,
R0037,Agribusiness,BBDC,,
R0126,Fintech,LFVN,,
R0062,Critical Minerals,SIEB,,
R0023,Agribusiness,PFX,,
R0145,Robotics & AI,CHSCO,,
R0118,Defense,BGS,,
R0034,Agribusiness,GHG,,
R0012,AI Infrastructure,HCKT,,
R0215,Water,LEGH,,
R0184,US Infrastructure,MTRX,,
R0007,AI Infrastructure,BCIC,,
R0028,Agribusiness,NDLS,,
R0137,Fintech,CCBG,,
R0212,Water,GDYN,,
R0204,Water,INSE,,
R0005,AI Infrastructure,MCFT,,
R0033,Agribusiness,FPI,,
R0120,Defense,CPIX,,
R0160,Robotics & AI,CYRX,,
R0127,Fintech,PBHC,,
R0159,Robotics & AI,PFX,,
R0115,Defense,NEWT,,
R0011,AI Infrastructure,HWBK,,
R0063,Critical Minerals,GOOS,,
R0165,Timber & Forestry,TRC,,
R0195,US Infrastructure,SITC,,
R0182,US Infrastructure,NUS,,
R0129,Fintech,BOC,,
R0199,US Infrastructure,BOC,,
R0168,Timber & Forestry,GRWG,,
R0071,Critical Minerals,ONCY,,
R0171,Timber & Forestry,JOUT,,
R0065,Critical Minerals,KRO,,
R0045,Clean Energy,KE,,
R0144,Robotics & AI,FPH,,
R0041,Clean Energy,GBLI,,
R0124,Fintech,CYRX,,
R0024,Agribusiness,ARQ,,
R0166,Timber & Forestry,ULBI,,
R0162,Timber & Forestry,NGS,,
R0082,Cybersecurity,SB,,
R0040,Agribusiness,UEIC,,
R0185,US Infrastructure,JRSH,,
R0048,Clean Energy,CDXS,,
R0095,Cybersecurity,MNSB,,
R0169,Timber & Forestry,MHNC,,
R0044,Clean Energy,TIPT,,
R0146,Robotics & AI,ZVRA,,
R0153,Robotics & AI,FNRN,,
R0004,AI Infrastructure,DTIL,,
R0106,Defense,SHBI,,
R0054,Clean Energy,GASS,,
R0134,Fintech,ORGO,,
R0200,US Infrastructure,RBB,,
R0172,Timber & Forestry,BXC,,
R0205,Water,PFX,,
R0050,Clean Energy,TLRY,,
R0081,Cybersecurity,CHSCO,,
R0035,Agribusiness,RBKB,,
R0008,AI Infrastructure,PANL,,
R0111,Defense,HVT,,
R0092,Cybersecurity,SENS,,
R0084,Cybersecurity,NGS,,
R0196,US Infrastructure,ACB,,
R0201,Water,FRPH,,
R0090,Cybersecurity,SSTK,,
R0009,AI Infrastructure,JOUT,,
R0014,AI Infrastructure,RBB,,
R0060,Clean Energy,PDLB,,
R0214,Water,CRESY,,
R0132,Fintech,NFBK,,
R0018,AI Infrastructure,BGSF,,
R0167,Timber & Forestry,BCIC,,
R0073,Critical Minerals,LOAN,,
R0193,US Infrastructure,ETD,,
R0135,Fintech,PCYO,,
R0183,US Infrastructure,CHSCN,,
R0209,Water,GLRE,,
R0064,Critical Minerals,FEIM,,
R0055,Clean Energy,KRO,,
R0108,Defense,NGEN,,
R0051,Clean Energy,CAPL,,
R0175,Timber & Forestry,CAPL,,
R0217,Water,CNNE,,
R0170,Timber & Forestry,CRESY,,
R0059,Clean Energy,GPJA,,
R0049,Clean Energy,AIV,,
R0089,Cybersecurity,BFS,,
R0022,Agribusiness,SMID,,
R0058,Clean Energy,SENS,,
R0161,Timber & Forestry,CHSCO,,
R0213,Water,BOC,,
R0188,US Infrastructure,SMC,,
R0192,US Infrastructure,NVEC,,
R0130,Fintech,ULBI,,
R0038,Agribusiness,PMTS,,
R0158,Robotics & AI,JMSB,,
R0208,Water,MNRO,,
R0002,AI Infrastructure,ALOT,,
R0053,Clean Energy,RELL,,
R0150,Robotics & AI,AMPH,,
R0131,Fintech,GPJA,,
R0152,Robotics & AI,STRS,,
R0104,Defense,TBRG,,
R0100,Cybersecurity,GRWG,,
R0117,Defense,KWY,,
R0088,Cybersecurity,DIN,,
R0203,Water,EBF,,
R0075,Critical Minerals,NNDM,,
R0122,Fintech,ARQ,,
R0220,Water,LINK,,
R0021,Agribusiness,LOAN,,
R0189,US Infrastructure,APOG,,
R0072,Critical Minerals,AFBI,,
R0107,Defense,BOC,,
R0015,AI Infrastructure,ACCO,,
R0093,Cybersecurity,FNRN,,
R0180,Timber & Forestry,RNAC,,
R0103,Defense,EBF,,
